Invoice,Stock_Code,Description,Quantity,Invoice_Date,Price,Customer_ID,Country
489434,85048,15Cm Christmas Glass Ball 20 Lights,31.03782735,12/1/2009 7:45,6.95,13085,United Kingdom
489434,79323P,Pink Cherry Lights,12,12/1/2009 7:45,6.75,13085,United Kingdom
489434,79323W, White Cherry Lights,31.03782735,12/1/2009 7:45,6.75,13085,United Kingdom
489434,22041,"Record Frame 7"" Single Size ",48,12/1/2009 7:45,1.69,13085,United Kingdom
489434,21232,Strawberry Ceramic Trinket Box,24,12/1/2009 7:45,1.25,13085,United Kingdom
489434,22064,Pink Doughnut Trinket Pot ,24,12/1/2009 7:45,1.65,13085,United Kingdom
489434,21871,Save The Planet Mug,31.03782735,12/1/2009 7:45,1.25,13085,United Kingdom
489434,21523,Fancy Font Home Sweet Home Doormat,10,12/1/2009 7:45,5.95,13085,United Kingdom
489435,22350,Cat Bowl ,12,12/1/2009 7:46,2.55,13085,United Kingdom
489435,22349,"Dog Bowl , Chasing Ball Design",12,12/1/2009 7:46,3.75,13085,United Kingdom
489435,22195,Heart Measuring Spoons Large,24,12/1/2009 7:46,1.65,13085,United Kingdom
489435,22353,Lunchbox With Cutlery Fairy Cakes ,12,12/1/2009 7:46,2.55,13085,United Kingdom
489436,48173C,Door Mat Black Flock ,10,12/1/2009 9:06,5.95,13078,United Kingdom
489436,21755,Love Building Block Word,18,12/1/2009 9:06,5.45,13078,United Kingdom
489436,21754,Home Building Block Word,3,12/1/2009 9:06,5.95,13078,United Kingdom
489436,84879,Assorted Colour Bird Ornament,16,12/1/2009 9:06,1.69,13078,United Kingdom
489436,22119, Peace Wooden Block Letters,3,12/1/2009 9:06,6.95,13078,United Kingdom
489436,22142,Christmas Craft White Fairy ,12,12/1/2009 9:06,1.45,13078,United Kingdom
489436,22296,Heart Ivory Trellis Large,12,12/1/2009 9:06,1.65,13078,United Kingdom
489436,22295,Heart Filigree Dove Large,12,12/1/2009 9:06,1.65,13078,United Kingdom
489436,22109,Full English Breakfast Plate,16,12/1/2009 9:06,3.39,13078,United Kingdom
489436,22107,Pizza Plate In Box,4,12/1/2009 9:06,3.75,13078,United Kingdom
489436,22194,Black Diner Wall Clock,2,12/1/2009 9:06,1.69,13078,United Kingdom
489436,35004B,Set Of 3 Black Flying Ducks,12,12/1/2009 9:06,4.65,13078,United Kingdom
489436,82582,Area Patrolled Metal Sign,12,12/1/2009 9:06,2.1,13078,United Kingdom
489436,21181,Please One Person  Metal Sign,12,12/1/2009 9:06,2.1,13078,United Kingdom
489436,21756,Bath Building Block Word,3,12/1/2009 9:06,5.95,13078,United Kingdom
489436,21333,Classic White Frame,6,12/1/2009 9:06,2.95,13078,United Kingdom
489436,84596F,Small Marshmallows Pink Bowl,8,12/1/2009 9:06,1.25,13078,United Kingdom
489436,84596L,Biscuits Small Bowl Light Blue,8,12/1/2009 9:06,1.25,13078,United Kingdom
489436,22111,Scottie Dog Hot Water Bottle,24,12/1/2009 9:06,4.25,13078,United Kingdom
489437,22143,Christmas Craft Heart Decorations,6,12/1/2009 9:08,2.1,15362,United Kingdom
489437,22145,Christmas Craft Heart Stocking ,6,12/1/2009 9:08,2.1,15362,United Kingdom
489437,22130,Party Cone Christmas Decoration ,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,21364,Peace Small Wood Letters,2,12/1/2009 9:08,6.75,15362,United Kingdom
489437,21360,Joy Large Wood Letters,31.03782735,12/1/2009 9:08,9.95,15362,United Kingdom
489437,21351,Cinammon & Orange Wreath,31.03782735,12/1/2009 9:08,6.75,15362,United Kingdom
489437,21352,Eucalyptus & Pinecone  Wreath,31.03782735,12/1/2009 9:08,6.75,15362,United Kingdom
489437,35400,Wooden Box Advent Calendar ,31.03782735,12/1/2009 9:08,8.95,15362,United Kingdom
489437,20695,Floral Blue Monster,3,12/1/2009 9:08,4.25,15362,United Kingdom
489437,37370,Retro Coffee Mugs Assorted,12,12/1/2009 9:08,1.25,15362,United Kingdom
489437,10002,Inflatable Political Globe ,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,84507B,Stripes Design Monkey Doll,6,12/1/2009 9:08,2.55,15362,United Kingdom
489437,20703,Blue Padded Soft Mobile,3,12/1/2009 9:08,4.25,15362,United Kingdom
489437,21987,Pack Of 6 Skull Paper Cups,12,12/1/2009 9:08,0.65,15362,United Kingdom
489437,21989,Pack Of 20 Skull Paper Napkins,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,84970S,Hanging Heart Zinc T-Light Holder,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,20971,Pink Blue Felt Craft Trinket Box,12,12/1/2009 9:08,1.25,15362,United Kingdom
489437,22271,Feltcraft Doll Rosie,6,12/1/2009 9:08,2.95,15362,United Kingdom
489437,22272,Feltcraft Doll Maria,6,12/1/2009 9:08,2.95,15362,United Kingdom
489437,22274,Feltcraft Doll Emily,6,12/1/2009 9:08,2.95,15362,United Kingdom
489437,21912,Vintage Snakes & Ladders,4,12/1/2009 9:08,3.75,15362,United Kingdom
489437,22111,Scottie Dog Hot Water Bottle,3,12/1/2009 9:08,4.95,15362,United Kingdom
489437,22112,Chocolate Hot Water Bottle,3,12/1/2009 9:08,4.95,15362,United Kingdom
489438,21329,Dinosaurs  Writing Set ,28,12/1/2009 9:24,0.98,18102,United Kingdom
489438,21252,Set Of Meadow  Flower Stickers,30,12/1/2009 9:24,1.69,18102,United Kingdom
489438,21100,Charlie And Lola Charlotte Bag,30,12/1/2009 9:24,1.15,18102,United Kingdom
489438,21033,Jumbo Bag Charlie And Lola Toys,30,12/1/2009 9:24,2,18102,United Kingdom
489438,20711,Jumbo Bag Toys ,60,12/1/2009 9:24,1.3,18102,United Kingdom
489438,21410,Country Cottage  Doorstop Green,32,12/1/2009 9:24,2.5,18102,United Kingdom
489438,21411,Gingham Heart  Doorstop Red,32,12/1/2009 9:24,2.5,18102,United Kingdom
489438,84031A,Charlie+Lola Red Hot Water Bottle ,56,12/1/2009 9:24,3,18102,United Kingdom
489438,84031B,Charlie Lola Blue Hot Water Bottle ,56,12/1/2009 9:24,3,18102,United Kingdom
489438,84032A,Charlie+Lola Pink Hot Water Bottle,60,12/1/2009 9:24,1.9,18102,United Kingdom
489438,84032B,Charlie + Lola Red Hot Water Bottle,56,12/1/2009 9:24,1.9,18102,United Kingdom
489438,84519A,Tomato Charlie+Lola Coaster Set,56,12/1/2009 9:24,2.15,18102,United Kingdom
